物件名,住所,アクセス,築年数,階数,家賃,管理費,間取り,広さ
東急目黒線 奥沢駅 3階建 築32年,東京都世田谷区奥沢３,東急目黒線/奥沢駅 歩4分 東急大井町線/緑が丘駅 歩10分 東急東横線/自由が丘駅 歩13分,築32年,3階,8万円,10000円,ワンルーム,30.84m2
目白グローリーマンション,東京都新宿区中落合２,西武新宿線/下落合駅 歩10分 西武池袋線/椎名町駅 歩10分 ＪＲ山手線/高田馬場駅 歩22分,築56年,4階,7万円,6000円,2K,20.21m2
セレッソI,東京都墨田区墨田１,東武伊勢崎線/東向島駅 歩6分 東武伊勢崎線/鐘ヶ淵駅 歩9分 京成押上線/八広駅 歩15分,築18年,3階,12.1万円,3000円,2LDK,55.96m2
東京メトロ副都心線 西早稲田駅 地下1地上13階建 築39年,東京都新宿区高田馬場１,東京メトロ副都心線/西早稲田駅 歩1分 ＪＲ山手線/高田馬場駅 歩7分 都電荒川線/早稲田駅 歩14分,築39年,6階,13.5万円,8000円,1DK,29.19m2
ONE　ROOF　FLAT　NISHIWASEDA,東京都新宿区高田馬場１,東京メトロ副都心線/西早稲田駅 歩1分 ＪＲ山手線/高田馬場駅 歩7分 都電荒川線/早稲田駅 歩14分,築39年,6階,13.5万円,8000円,1DK,29.19m2
レスポワール西蒲田,東京都大田区西蒲田６,ＪＲ京浜東北線/蒲田駅 歩7分 東急池上線/蓮沼駅 歩4分 東急多摩川線/矢口渡駅 歩15分,築40年,4階,5万円,3000円,ワンルーム,11.85m2
富士ビル,東京都世田谷区駒沢１,東急田園都市線/駒沢大学駅 歩5分 東急田園都市線/桜新町駅 歩16分 東急世田谷線/松陰神社前駅 歩22分,築54年,4階,7万円,5000円,2K,30.65m2
松濤マンション,東京都新宿区北新宿３,ＪＲ中央線/東中野駅 歩7分 ＪＲ中央線/大久保駅 歩11分 ＪＲ山手線/新大久保駅 歩16分,築21年,1階,19万円,10000円,4SK,80m2
スカイコート明大前,東京都世田谷区松原１,京王線/明大前駅 歩6分 京王線/代田橋駅 歩7分 京王井の頭線/東松原駅 歩13分,築40年,3階,5.2万円,0円,ワンルーム,16.3m2
五本木三丁目戸建,東京都目黒区五本木３,東急東横線/学芸大学駅 歩6分 東急東横線/祐天寺駅 歩14分 東急田園都市線/三軒茶屋駅 バス12分 (バス停)下馬五丁目 歩4分,築29年,1階,85万円,0円,5LDK,261.37m2
東急池上線 御嶽山駅 4階建 築56年,東京都大田区北嶺町,東急池上線/御嶽山駅 歩2分 東急池上線/久が原駅 歩9分 東急多摩川線/沼部駅 歩18分,築56年,2階,6.7万円,3000円,1DK,29.75m2
ルナ・サテライト,東京都大田区北嶺町,東急池上線/御嶽山駅 歩2分 東急池上線/久が原駅 歩9分 東急多摩川線/沼部駅 歩18分,築56年,2階,6.7万円,3000円,1DK,29.75m2
ブリリアザレジデンス東京八重洲アベニュー,東京都中央区新川２,ＪＲ京葉線/八丁堀駅 歩3分 ＪＲ山手線/東京駅 歩15分 東京メトロ東西線/茅場町駅 歩7分,築8年,2階,25.5万円,0円,2LDK,53.79m2
東京メトロ日比谷線 八丁堀駅 10階建 築5年,東京都中央区新川１,東京メトロ日比谷線/八丁堀駅 歩7分 東京メトロ東西線/茅場町駅 歩9分 東京メトロ半蔵門線/水天宮前駅 歩11分,築5年,3階,25万円,0円,2LDK,56.09m2
コンフォリア墨田立花,東京都墨田区立花５,東武亀戸線/小村井駅 歩7分 京成押上線/京成曳舟駅 歩17分 東武亀戸線/東あずま駅 歩9分,築17年,1階,11.3万円,5000円,1LDK,39.13m2
レガシア目黒八雲,東京都目黒区八雲２,東急東横線/都立大学駅 歩8分 東急東横線/自由が丘駅 歩14分 東急大井町線/緑が丘駅 歩20分,新築,3階,10.1万円,6000円,1SK,27.91m2
Ｌａ・Ｇｌｙｃｉｎｅ,東京都墨田区押上１,都営浅草線/押上駅 歩7分 東武亀戸線/小村井駅 歩16分 東武伊勢崎線/とうきょうスカイツリー駅 歩10分,築3年,6階,15.3万円,10000円,1LDK,39.62m2
ザ・パーククロス錦糸町レジデンス,東京都墨田区太平４,東京メトロ半蔵門線/錦糸町駅 歩7分 ＪＲ総武線/亀戸駅 歩16分 都営浅草線/押上駅 歩15分,築17年,6階,19.9万円,10000円,2LDK,46.23m2
ＪＲ総武線快速 錦糸町駅 10階建 築17年,東京都墨田区太平４,ＪＲ総武線快速/錦糸町駅 歩7分 東京メトロ半蔵門線/錦糸町駅 歩10分 東京メトロ半蔵門線/押上駅 歩12分,築17年,6階,19.9万円,10000円,2LDK,46.23m2
東武伊勢崎線 東向島駅 6階建 築11年,東京都墨田区墨田２,東武伊勢崎線/東向島駅 歩6分 東武伊勢崎線/鐘ヶ淵駅 歩9分 京成押上線/八広駅 歩15分,築11年,1階,9.4万円,3000円,1LDK,34m2
ＪＲ総武線 錦糸町駅 11階建 築3年,東京都墨田区太平１,ＪＲ総武線/錦糸町駅 歩8分 東京メトロ半蔵門線/錦糸町駅 歩8分 東京メトロ半蔵門線/押上駅 歩14分,築3年,8階,19万円,15000円,2LDK,40.34m2
都営新宿線 菊川駅 4階建 新築,東京都墨田区立川３,都営新宿線/菊川駅 歩5分 都営大江戸線/森下駅 歩8分 都営大江戸線/両国駅 歩18分,新築,1階,16.6万円,10000円,1LDK,46.67m2
東京メトロ東西線 茅場町駅 11階建 築4年,東京都中央区日本橋箱崎町,東京メトロ東西線/茅場町駅 歩6分 東京メトロ半蔵門線/水天宮前駅 歩6分 ＪＲ京葉線/八丁堀駅 歩13分,築4年,2階,18.1万円,10000円,1LDK,40.06m2
東武亀戸線 東あずま駅 3階建 築14年,東京都墨田区立花５,東武亀戸線/東あずま駅 歩9分 ＪＲ総武線/平井駅 歩15分 東武亀戸線/小村井駅 歩9分,築14年,1階,9.7万円,3000円,1LDK,48.62m2
東京メトロ有楽町線 月島駅 10階建 築4年,東京都中央区月島３,東京メトロ有楽町線/月島駅 歩5分 都営大江戸線/勝どき駅 歩5分 東京メトロ日比谷線/東銀座駅 歩20分,築4年,6階,15.6万円,15000円,1LDK,40.31m2
N-stage Hikifune,東京都墨田区京島３,京成押上線/京成曳舟駅 歩8分 東京メトロ半蔵門線/押上駅 歩20分 東武伊勢崎線/曳舟駅 歩13分,築5年,4階,14.7万円,20000円,1LDK,45.66m2
ジェノヴィア両国3スカイガーデン,東京都墨田区緑３,都営新宿線/菊川駅 歩9分 ＪＲ総武線/錦糸町駅 歩13分 都営大江戸線/両国駅 歩11分,築5年,5階,21.6万円,10000円,2LDK,51.82m2
都営大江戸線 両国駅 8階建 築5年,東京都墨田区緑３,都営大江戸線/両国駅 歩10分 ＪＲ総武線快速/錦糸町駅 歩13分 都営新宿線/菊川駅 歩9分,築5年,7階,21.9万円,10000円,2LDK,51.98m2
菱和パレス世田谷代田,東京都世田谷区代田３,小田急線/梅ヶ丘駅 歩12分 小田急線/世田谷代田駅 歩11分 東急世田谷線/若林駅 歩10分,築33年,2階,6万円,5000円,ワンルーム,16.47m2
小田急線 梅ヶ丘駅 3階建 築33年,東京都世田谷区代田３,小田急線/梅ヶ丘駅 歩12分 小田急線/世田谷代田駅 歩11分 東急世田谷線/若林駅 歩10分,築33年,2階,6万円,5000円,ワンルーム,16.47m2
トップ明大前第3,東京都世田谷区松原３,京王線/明大前駅 歩9分 京王線/下高井戸駅 歩6分 東急世田谷線/松原駅 歩15分,築39年,3階,4.5万円,10000円,ワンルーム,14.54m2
都営新宿線 浜町駅 9階建 築14年,東京都中央区日本橋浜町３,都営新宿線/浜町駅 歩4分 東京メトロ半蔵門線/水天宮前駅 歩6分 東京メトロ日比谷線/人形町駅 歩15分,築14年,3階,14.3万円,15000円,1LDK,40.48m2
Chloris,東京都墨田区錦糸４,ＪＲ総武線/錦糸町駅 歩6分 都営新宿線/住吉駅 歩18分 東武伊勢崎線/とうきょうスカイツリー駅 歩30分,築12年,8階,14.8万円,9000円,1LDK,40.75m2
都営大江戸線 両国駅 10階建 築8年,東京都墨田区両国４,都営大江戸線/両国駅 歩6分 都営新宿線/森下駅 歩8分 ＪＲ総武線/浅草橋駅 歩20分,築8年,7階,14.7万円,17000円,1LDK,43.18m2
山田マンション,東京都墨田区太平４,ＪＲ総武線快速/錦糸町駅 歩7分 東京メトロ半蔵門線/押上駅 歩11分 東京メトロ半蔵門線/錦糸町駅 歩6分,築24年,2階,12.8万円,0円,2DK,43.06m2
コンサーム等々力,東京都世田谷区等々力２,東急大井町線/等々力駅 歩2分 東急大井町線/尾山台駅 歩8分 東急東横線/田園調布駅 バス8分 (バス停)等々力駅入口 歩6分,築44年,3階,7.2万円,3000円,ワンルーム,30m2
都営大江戸線 森下駅 7階建 築10年,東京都墨田区立川２,都営大江戸線/森下駅 歩7分 都営新宿線/菊川駅 歩10分 ＪＲ総武線快速/錦糸町駅 歩19分,築10年,4階,13.8万円,12000円,1LDK,43.87m2
LUORE文京千石,東京都文京区千石４,ＪＲ山手線/巣鴨駅 歩6分 都営三田線/千石駅 歩11分 東京メトロ丸ノ内線/新大塚駅 歩14分,新築,3階,14.3万円,12000円,1LDK,32.54m2
ＪＲ山手線 巣鴨駅 4階建 新築,東京都文京区千石４,ＪＲ山手線/巣鴨駅 歩6分 都営三田線/千石駅 歩10分 東京メトロ丸ノ内線/新大塚駅 歩14分,新築,3階,14.3万円,12000円,1LDK,32.54m2
東京メトロ日比谷線 中目黒駅 地下1地上10階建 築7年,東京都目黒区青葉台２,東京メトロ日比谷線/中目黒駅 歩8分 東急東横線/代官山駅 歩14分 東急田園都市線/池尻大橋駅 歩15分,築7年,2階,18.2万円,8000円,1LDK,41.73m2
KM中目黒ビル,東京都目黒区青葉台２,東京メトロ日比谷線/中目黒駅 歩8分 東急東横線/代官山駅 歩12分 ＪＲ山手線/渋谷駅 歩17分,築7年,2階,18.2万円,8000円,1SK,41.73m2
東京メトロ半蔵門線 錦糸町駅 10階建 築12年,東京都墨田区錦糸４,東京メトロ半蔵門線/錦糸町駅 歩7分 ＪＲ総武線快速/錦糸町駅 歩6分 ＪＲ総武線/亀戸駅 歩11分,築12年,8階,14.8万円,9000円,1LDK,40.75m2
都営浅草線 押上駅 5階建 築3年,東京都墨田区向島４,都営浅草線/押上駅 歩5分 東武亀戸線/曳舟駅 歩8分 京成押上線/京成曳舟駅 歩12分,築3年,2階,13.3万円,7000円,1LDK,33.15m2
メイクス東向島II,東京都墨田区東向島５,東武伊勢崎線/東向島駅 歩5分 京成押上線/八広駅 歩9分 京成押上線/京成曳舟駅 歩15分,築2年,2階,8.4万円,12000円,1K,25.82m2
ＪＲ総武線 両国駅 9階建 新築,東京都墨田区両国４,ＪＲ総武線/両国駅 歩7分 都営大江戸線/森下駅 歩7分 都営新宿線/菊川駅 歩17分,新築,5階,14.2万円,10500円,1LDK,37.02m2
Rei Ryogoku,東京都墨田区両国４,ＪＲ総武線/両国駅 歩7分 都営大江戸線/森下駅 歩7分 都営新宿線/菊川駅 歩17分,新築,6階,14.3万円,10500円,1LDK,37.02m2
ＪＲ総武線 両国駅 13階建 築4年,東京都墨田区両国１,ＪＲ総武線/両国駅 歩6分 都営大江戸線/両国駅 歩11分 都営大江戸線/森下駅 歩10分,築4年,5階,11.4万円,10000円,1DK,25.93m2
東武伊勢崎線 鐘ヶ淵駅 7階建 新築,東京都墨田区墨田３,東武伊勢崎線/鐘ヶ淵駅 歩7分 東武伊勢崎線/東向島駅 歩9分 京成押上線/八広駅 歩14分,新築,3階,14.4万円,10000円,1LDK,43.2m2
ＪＲ京葉線 八丁堀駅 12階建 築20年,東京都中央区新川２,ＪＲ京葉線/八丁堀駅 歩5分 東京メトロ東西線/茅場町駅 歩10分 東京メトロ半蔵門線/水天宮前駅 歩16分,築20年,3階,15.5万円,7000円,1LDK,44.95m2
J.GRAN Court 品川西大井WEST,東京都品川区西大井２,ＪＲ横須賀線/西大井駅 歩7分 都営浅草線/中延駅 歩20分 ＪＲ京浜東北線/大森駅 歩19分,新築,2階,19.7万円,20000円,2LDK,41.11m2
都営新宿線 菊川駅 10階建 築3年,東京都墨田区緑３,都営新宿線/菊川駅 歩9分 都営大江戸線/両国駅 歩10分 ＪＲ総武線/両国駅 歩16分,築3年,3階,21.5万円,15000円,2LDK,51.09m2
ＪＲ総武線 錦糸町駅 15階建 新築,東京都墨田区江東橋４,ＪＲ総武線/錦糸町駅 歩5分 東京メトロ半蔵門線/錦糸町駅 歩3分 都営新宿線/住吉駅 歩13分,新築,4階,12.4万円,20000円,1DK,27.28m2
東武亀戸線 小村井駅 7階建 築12年,東京都墨田区立花４,東武亀戸線/小村井駅 歩4分 東武亀戸線/東あずま駅 歩6分 京成押上線/京成曳舟駅 歩17分,築12年,5階,12.5万円,10000円,1LDK,44.72m2
セルリアンホームズ勝どき,東京都中央区勝どき３,都営大江戸線/勝どき駅 歩4分 東京メトロ有楽町線/月島駅 歩12分 東京メトロ日比谷線/築地駅 歩15分,築23年,3階,21.1万円,10000円,2LDK,61.92m2
メインステージ錦糸町IX,東京都墨田区緑３,東京メトロ半蔵門線/錦糸町駅 歩12分 都営大江戸線/両国駅 歩10分 都営新宿線/菊川駅 歩10分,築5年,4階,15万円,20000円,1LDK,41.58m2
オーキッドレジデンス森下,東京都墨田区緑１,都営大江戸線/森下駅 歩6分 ＪＲ総武線/両国駅 歩10分 都営新宿線/菊川駅 歩15分,築4年,9階,18.5万円,10000円,2DK,43m2
グランパセオ文京小日向,東京都文京区小日向２,東京メトロ有楽町線/江戸川橋駅 歩6分 東京メトロ丸ノ内線/茗荷谷駅 歩9分 東京メトロ東西線/神楽坂駅 歩14分,新築,1階,17万円,12000円,1LDK,40.34m2
ザ・パークハウスグラン千鳥ヶ淵,東京都千代田区三番町,東京メトロ半蔵門線/半蔵門駅 歩7分 ＪＲ中央線/市ケ谷駅 歩12分 東京メトロ東西線/九段下駅 歩12分,築9年,2階,86万円,0円,3LDK,108.53m2
東京メトロ有楽町線 東池袋駅 11階建 築18年,東京都文京区大塚５,東京メトロ有楽町線/東池袋駅 歩6分 東京メトロ有楽町線/護国寺駅 歩7分 東京メトロ丸ノ内線/新大塚駅 歩11分,築18年,6階,14.3万円,7000円,1LDK,37.72m2
HY‘ｓ　Vigor　墨田,東京都墨田区墨田１,東武伊勢崎線/東向島駅 歩4分 東武伊勢崎線/鐘ヶ淵駅 歩10分 京成押上線/八広駅 歩12分,築7年,5階,13.3万円,12000円,1LDK,40.4m2
JUタワーフロントOSHIAGE,東京都墨田区押上２,東京メトロ半蔵門線/押上駅 歩4分 東武伊勢崎線/曳舟駅 歩8分 京成押上線/京成曳舟駅 歩12分,築9年,4階,14万円,10000円,1LDK,34.72m2
東京メトロ半蔵門線 押上駅 5階建 築9年,東京都墨田区押上２,東京メトロ半蔵門線/押上駅 歩4分 東武伊勢崎線/曳舟駅 歩8分 京成押上線/京成曳舟駅 歩12分,築9年,4階,14万円,10000円,1LDK,34.72m2
ＪＲ総武線快速 錦糸町駅 7階建 築11年,東京都墨田区錦糸２,ＪＲ総武線快速/錦糸町駅 歩5分 東京メトロ半蔵門線/押上駅 歩18分 東京メトロ半蔵門線/錦糸町駅 歩5分,築11年,7階,12.2万円,12000円,1DK,32.38m2
東京メトロ半蔵門線 押上駅 7階建 築34年,東京都墨田区押上１,東京メトロ半蔵門線/押上駅 歩2分 都営浅草線/本所吾妻橋駅 歩12分 東武伊勢崎線/とうきょうスカイツリー駅 歩7分,築34年,4階,14万円,0円,3DK,57.65m2
第8北澤ビル,東京都墨田区押上１,東京メトロ半蔵門線/押上駅 歩2分 都営浅草線/本所吾妻橋駅 歩12分 東武伊勢崎線/とうきょうスカイツリー駅 歩7分,築34年,4階,14万円,0円,3DK,57.65m2
Gradito　Ryogoku,東京都墨田区亀沢１,都営大江戸線/両国駅 歩3分 ＪＲ総武線/両国駅 歩10分 都営新宿線/森下駅 歩11分,築8年,6階,19.5万円,10000円,1K,53.84m2
東京メトロ半蔵門線 錦糸町駅 14階建 新築,東京都墨田区太平３,東京メトロ半蔵門線/錦糸町駅 歩6分 ＪＲ総武線/錦糸町駅 歩7分 都営浅草線/押上駅 歩16分,新築,5階,19.7万円,20000円,1LDK,44.1m2
ＩＰＳＥ住吉,東京都墨田区江東橋５,都営新宿線/住吉駅 歩5分 東京メトロ半蔵門線/錦糸町駅 歩13分 都営新宿線/菊川駅 歩8分,築2年,6階,12.1万円,10000円,1DK,25.17m2
Chou Chou 千石　WEST,東京都文京区千石３,都営三田線/千石駅 歩10分 東京メトロ丸ノ内線/新大塚駅 歩12分 ＪＲ山手線/大塚駅 歩9分,築6年,4階,14.4万円,8000円,1LDK,40.89m2
ＪＲ総武線快速 錦糸町駅 7階建 築7年,東京都墨田区亀沢４,ＪＲ総武線快速/錦糸町駅 歩8分 東京メトロ半蔵門線/錦糸町駅 歩8分 都営大江戸線/両国駅 歩13分,築7年,4階,15.5万円,15000円,1LDK,42.04m2
ベレッツァ文京,東京都文京区水道２,東京メトロ有楽町線/江戸川橋駅 歩5分 東京メトロ東西線/神楽坂駅 歩12分 東京メトロ丸ノ内線/茗荷谷駅 歩15分,築7年,8階,19.6万円,11000円,2LDK,54.49m2
ＪＲ総武線 両国駅 7階建 築1年,東京都墨田区横網２,ＪＲ総武線/両国駅 歩10分 都営大江戸線/蔵前駅 歩12分 都営浅草線/浅草駅 歩16分,築1年,7階,15.3万円,10000円,1SLDK,35.54m2
都営浅草線 本所吾妻橋駅 10階建 築18年,東京都墨田区本所４,都営浅草線/本所吾妻橋駅 歩6分 ＪＲ総武線快速/錦糸町駅 歩16分 東京メトロ半蔵門線/押上駅 歩17分,築18年,3階,19万円,15000円,2LDK,55.49m2
